reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cleaned_text,text_caseFolding,text_tokenized,text_stopwords,final_text,compound_score,label
a34478e4-b7f0-4e78-9d5a-9dcde8b014d3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,nice game 🎯,5,0,2.691.868,2025-09-24 14:26:00,,,2.691.868,nice game,nice game,"['nice', 'game']","['nice', 'game']",nice game,0.4215,positive
00e0814c-a587-47ab-8fe2-125ec476c6fe,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,best game ever made,4,0,,2025-09-24 14:25:36,,,,best game ever made,best game ever made,"['best', 'game', 'ever', 'made']","['best', 'game', 'ever', 'made']",best game ever made,0.6369,positive
9c0a7b64-04e1-4b39-862d-537bcd23e5c9,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,they should do a update on pls donate,5,0,2.689.880,2025-09-24 14:24:45,,,2.689.880,they should do a update on pls donate,they should do a update on pls donate,"['they', 'should', 'do', 'a', 'update', 'on', 'pls', 'donate']","['update', 'pls', 'donate']",update pls donate,0.0772,neutral
1d0e9996-6a5a-4a98-ae37-a7c97c202086,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It keeps on removing my accounts 😡,1,0,,2025-09-24 14:24:26,,,,It keeps on removing my accounts,it keeps on removing my accounts,"['it', 'keeps', 'on', 'removing', 'my', 'accounts']","['keeps', 'removing', 'accounts']",keeps removing accounts,0.0,neutral
d8eb5f06-05e7-4906-a632-73813f143f52,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,brooo roblox is so lag but I love roblox l ❤❤❤❤❤❤❤❤❤❤,5,0,2.691.868,2025-09-24 14:23:48,,,2.691.868,brooo roblox is so lag but I love roblox l,brooo roblox is so lag but i love roblox l,"['brooo', 'roblox', 'is', 'so', 'lag', 'but', 'i', 'love', 'roblox', 'l']","['brooo', 'roblox', 'lag', 'love', 'roblox', 'l']",brooo roblox lag love roblox l,0.4215,positive
b22ce0e0-8622-4373-978b-c5b1c4d9e055,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,best game ever!!!,5,0,2.691.868,2025-09-24 14:23:04,,,2.691.868,best game ever,best game ever,"['best', 'game', 'ever']","['best', 'game', 'ever']",best game ever,0.6369,positive
dadc907e-c803-4a22-80a1-4d26c58d1fec,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,it was good. before but the game has a severe problem of account recovery please roblox development team work better for account recoveries,5,0,2.691.868,2025-09-24 14:22:19,,,2.691.868,it was good before but the game has a severe problem of account recovery please roblox development team work better for account recoveries,it was good before but the game has a severe problem of account recovery please roblox development team work better for account recoveries,"['it', 'was', 'good', 'before', 'but', 'the', 'game', 'has', 'a', 'severe', 'problem', 'of', 'account', 'recovery', 'please', 'roblox', 'development', 'team', 'work', 'better', 'for', 'account', 'recoveries']","['good', 'game', 'severe', 'problem', 'account', 'recovery', 'please', 'roblox', 'development', 'team', 'work', 'better', 'account', 'recoveries']",good game severe problem account recovery please roblox development team work better account recoveries,0.4215,positive
45eb837a-e986-461f-b0ce-30c3d3d01182,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,best game is Roblox and stilized,5,0,2.681.805,2025-09-24 14:22:07,,,2.681.805,best game is Roblox and stilized,best game is roblox and stilized,"['best', 'game', 'is', 'roblox', 'and', 'stilized']","['best', 'game', 'roblox', 'stilized']",best game roblox stilized,0.6369,positive
dee053be-afa8-4d07-bcaf-69d1fec81b8b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I love this game just don't ban this plz.,5,0,,2025-09-24 14:19:58,,,,I love this game just dont ban this plz,i love this game just dont ban this plz,"['i', 'love', 'this', 'game', 'just', 'dont', 'ban', 'this', 'plz']","['love', 'game', 'dont', 'ban', 'plz']",love game dont ban plz,0.7847,positive
6bf447cf-0600-4235-82f3-bdc3c5f3ca70,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,it is awesome I get to hang out with my friends every day,5,0,2.691.868,2025-09-24 14:19:52,,,2.691.868,it is awesome I get to hang out with my friends every day,it is awesome i get to hang out with my friends every day,"['it', 'is', 'awesome', 'i', 'get', 'to', 'hang', 'out', 'with', 'my', 'friends', 'every', 'day']","['awesome', 'get', 'hang', 'friends', 'every', 'day']",awesome get hang friends every day,0.802,positive
ff89accd-4b86-4773-8cb0-6facb0f3d2bc,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,op,5,0,2.689.880,2025-09-24 14:17:47,,,2.689.880,op,op,['op'],['op'],op,0.0,neutral
